Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
 3632   Momotus momota               Blue-crowned Motmot          Blåkronad motmot
 3633   Momotus aequatorialis        Highland Motmot              Bergsmotmot
 3634                                Meropidae, Biätare
 3635   Nyctyornis amictus           Red-bearded Bee-eater        Rödskäggig biätare
 3636   Nyctyornis athertoni         Blue-bearded Bee-eater       Blåskäggig biätare
 3637   Meropogon forsteni           Sulawesi Bearded Bee-eater   Sulawesibiätare
 3638   Merops gularis               Black Bee-eater              Svart biätare
 3639   Merops muelleri              Blue-headed Bee-eater        Blåhuvad biätare
 3640   Merops bulocki               Red-throated Bee-eater       Rödstrupig biätare
 3641   Merops bullockoides          White-fronted Bee-eater      Vitpannad biätare
 3642   Merops pusillus              Little Bee-eater             Dvärgbiätare
 3643   Merops variegatus            Blue-breasted Bee-eater      Blåkragad biätare
 3644   Merops oreobates             Cinnamon-chested Bee-eater   Kanelbröstad biätare
 3645   Merops hirundineus           Swallow-tailed Bee-eater     Svalstjärtad biätare
 3646   Merops breweri               Black-headed Bee-eater       Svarthuvad biätare
 3647   Merops revoilii              Somali Bee-eater             Somalibiätare
 3648   Merops albicollis            White-throated Bee-eater     Vitstrupig biätare
 3649   Merops orientalis            Little Green Bee-eater       Grön dvärgbiätare
 3650   Merops boehmi                Boehm's Bee-eater            Böhms biätare
 3651   Merops viridis               Blue-throated Bee-eater      Blåstrupig biätare
 3652   Merops superciliosus         Olive Bee-eater              Grön biätare
 3653   Merops persicus              Blue-cheeked Bee-eater       Blåkindad biätare
 3654   Merops philippinus           Blue-tailed Bee-eater        Blåstjärtad biätare
 3655   Merops ornatus               Rainbow Bee-eater            Regnbågsbiätare
 3656   Merops apiaster              European Bee-eater           Biätare
 3657   Merops leschenaulti          Bay-headed Bee-eater         Rostbiätare
 3658   Merops malimbicus            Rosy Bee-eater               Rosenbiätare
 3659   Merops nubicus               Northern Carmine Bee-eater   Nordlig Karminbiätare
 3660   Merops nubicoides            Southern Carmine Bee-eater   Sydlig karminbiätare
 3661                                Coraciidae, Blåkråkor
 3662   Coracias garrulus            European Roller                    Blåkråka
 3663   Coracias abyssinicus         Abyssinian Roller                  Savannblåkråka
 3664   Coracias caudatus            Lilac-breasted Roller              Lilabröstad blåkråka
 3665   Coracias spatulatus          Racket-tailed Roller               Vimpelblåkråka
 3666   Coracias naevius             Rufous-crowned Roller              Fläckblåkråka
 3667   Coracias benghalensis        Indian Roller                      Indisk blåkråka
 3668   Coracias temminckii          Purple-winged Roller               Sulawesiblåkråka
 3669   Coracias cyanogaster         Blue-bellied Roller                Gräddhuvad blåkråka
 3670   Eurystomus glaucurus         African Broad-billed Roller        Gulnäbbad blåkråka
 3671   Eurystomus gularis           Blue-throated Roller               Mindre blåkråka
 3672   Eurystomus orientalis        Dollarbird                         Rödnäbbad blåkråka
 3673   Eurystomus azureus           Azure Dollarbird                   Azurblåkråka
 3674                                Brachypteraciidae, Markblåkråkor
 3675   Brachypteracias leptosomus   Short-legged Ground-Roller         Tjocknäbbad markblåkråka
 3676   Geobiastes squamiger         Scaly Ground-Roller                Fjällig markblåkråka
 3677   Uratelornis chimaera         Long-tailed Ground-Roller          Långstjärtad markblåkråka
 3678   Atelornis pittoides          Pitta-like Ground-Roller           Blåpannad markblåkråka
 3679   Atelornis crossleyi          Rufous-headed Ground-Roller        Rödbrun markblåkråka
 3680                                Leptosomatidae, Kuroler
 3681   Leptosomus discolor          Cuckoo Roller                      Kurol
 3682                                Upupidae, Härfåglar
 3683   Upupa epops                  Eurasian Hoopoe                    Härfågel
 3684   Upupa africana               African Hoopoe                     Afrikansk härfågel
 3685   Upupa marginata              Madagascar Hoopoe                  Madagaskarhärfågel
 3686                                Phoeniculidae, Skratthärfåglar
 3687   Phoeniculus purpureus        Green Woodhoopoe                   Grön skratthärfågel
 3688   Phoeniculus somaliensis      Black-billed Woodhoopoe            Svartnäbbad skratthärfågel
 3689   Phoeniculus damarensis       Violet Woodhoopoe                  Violett skratthärfågel
 3690   Phoeniculus granti           Grant's Woodhoopoe                 Kenyaskratthärfågel
 3691   Phoeniculus bollei           White-headed Woodhoopoe            Vithövdad skratthärfågel
 3692   Phoeniculus castaneiceps     Forest Woodhoopoe                  Skogsskratthärfågel
 3693   Rhinopomastus aterrimus      Black Scimitarbill                 Svart sabelnäbb
 3694   Rhinopomastus minor          Abyssinian Scimitarbill            Abessinsk sabelnäbb
 3695   Rhinopomastus cyanomelas    Common Scimitarbill               Sabelnäbb
 3696                               Bucerotidae, Hornskator
 3697   Ocyceros birostris          Indian Grey Hornbill              Indisk gråtoko
 3698   Ocyceros griseus            Malabar Grey Hornbill             Malabartoko
 3699   Ocyceros gingalensis        Sri Lanka Grey Hornbill           Ceylontoko
 3700   Tockus fasciatus            African Pied Hornbill             Skattoko
 3701   Tockus alboterminatus       Crowned Hornbill                  Krontoko
 3702   Tockus bradfieldi           Bradfield's Hornbill              Klipptoko
 3703   Tockus pallidirostris       Pale-billed Hornbill              Bleknäbbad toko
 3704   Tockus nasutus              African Grey Hornbill             Afrikansk gråtoko
 3705   Tockus hemprichii           Hemprich's Hornbill               Hemprichtoko
 3706   Tockus monteiri             Monteiro's Hornbill               Monteirotoko
 3707   Tockus kempi                Western Red-billed Hornbill       Senegaltoko
 3708   Tockus ruahae               Tanzanian Red-billed Hornbill     Ruahatoko
 3709   Tockus rufirostris          Southern Red-billed Hornbill      Sydlig rödnäbbad toko
 3710   Tockus damarensis           Damara Red-billed Hornbill        Damaratoko
 3711   Tockus hartlaubi            Black Dwarf Hornbill              Svart dvärgtoko
 3712   Tockus camurus              Red-billed Dwarf Hornbill         Rödnäbbad dvärgtoko
 3713   Tockus erythrorhynchus      Northern Red-billed Hornbill      Nordlig rödnäbbad toko
 3714   Tockus flavirostris         Eastern Yellow-billed Hornbill    Östlig gulnäbbstoko
 3715   Tockus leucomelas           Southern Yellow-billed Hornbill   Sydlig gulnäbbstoko
 3716   Tockus deckeni              Von der Decken's Hornbill         Deckentoko
 3717   Tockus jacksoni             Jackson's Hornbill                Jacksontoko
 3718   Berenicornis comatus        White-crowned Hornbill            Vithuvad hornkorp
 3719   Tropicranus albocristatus   White-crested Hornbill            Långstjärtad toko
 3720   Anorrhinus tickelli         Rusty-cheeked Hornbill            Roststrupig hornskata
 3721   Anorrhinus austeni          Austen's Brown Hornbill           Vitstrupig hornskata
 3722   Anorrhinus galeritus        Bushy-crested Hornbill            Plymhornskata
 3723   Penelopides panini          Tarictic Hornbill                 Visayahornskata
 3724   Penelopides manillae        Luzon Hornbill                    Luzonhornskata
 3725   Penelopides mindorensis     Mindoro Hornbill                  Mindorohornskata
 3726   Penelopides affinis         Mindanao Hornbill                 Mindanaohornskata
 3727   Penelopides exarhatus       Sulawesi Hornbill                 Sulawesihornskata
 3728   Aceros nipalensis             Rufous-necked Hornbill             Nepalhornkorp
 3729   Aceros corrugatus             Wrinkled Hornbill                  Sundahornkorp
 3730   Aceros leucocephalus          Mindanao Wrinkled Hornbill         Mindanaohornkorp
 3731   Aceros waldeni                Visayan Wrinkled Hornbill          Visayahornkorp
 3732   Aceros cassidix               Sulawesi Wrinkled Hornbill         Sulawesihornkorp
 3733   Rhyticeros undulatus          Bar-pouched Wreathed Hornbill      Rostnackad hornkorp
 3734   Rhyticeros plicatus           Papuan Wreathed Hornbill           Papuahornkorp
 3735   Rhyticeros subruficollis      Plain-pouched Wreathed Hornbill    Vitstrupig hornkorp
 3736   Rhyticeros everetti           Sumba Wreathed Hornbill            Sumbahornkorp
 3737   Rhyticeros narcondami         Narcondam Wreathed Hornbill        Narcondamhornkorp
 3738   Anthracoceros malayanus       Black Hornbill                     Malajhornkorp
 3739   Anthracoceros albirostris     Oriental Pied Hornbill             Orienthornkorp
 3740   Anthracoceros coronatus       Indian Pied Hornbill               Indisk hornkorp
 3741   Anthracoceros montani         Sulu Hornbill                      Suluhornkorp
 3742   Anthracoceros marchei         Palawan Hornbill                   Palawanhornkorp
 3743   Bycanistes bucinator          Trumpeter Hornbill                 Trumpethornkorp
 3744   Bycanistes fistulator         Piping Hornbill                    Skrikhornkorp
 3745   Bycanistes cylindricus        Brown-cheeked Hornbill             Brunhuvad hornkorp
 3746   Bycanistes albotibialis       White-thighed Hornbill             Vitlårad hornkorp
 3747   Bycanistes subcylindricus     Black-and-white-casqued Hornbill   Svartvit hornkorp
 3748   Bycanistes brevis             Silvery-cheeked Hornbill           Silverkindad hornkorp
 3749   Ceratogymna atrata            Black-casqued Hornbill             Svart hornkorp
 3750   Ceratogymna elata             Yellow-casqued Hornbill            Gulkaskad hornkorp
 3751   Buceros rhinoceros            Rhinoceros Hornbill                Rödnäbbad hornkorp
 3752   Buceros bicornis              Great Pied Hornbill                Större hornkorp
 3753   Buceros hydrocorax            Great Philippine Hornbill          Filippinhornkorp
 3754   Rhinoplax vigil               Helmeted Hornbill                  Hjälmhornkorp
 3755   Bucorvus abyssinicus          Abyssinian Ground Hornbill         Nordlig markhornkorp
 3756   Bucorvus leadbeateri          Southern Ground Hornbill           Sydlig markhornkorp
 3757                                 Galbulidae, Jakamaror
 3758   Galbalcyrhynchus leucotis     White-eared Jacamar                Vitörad jakamar
 3759   Galbalcyrhynchus purusianus   Purus Jacamar                      Kastanjejakamar
 3760   Brachygalba albogularis       White-throated Jacamar             Vitstrupig jakamar
 3761   Brachygalba lugubris       Brown Jacamar               Brun jakamar
 3762   Brachygalba goeringi       Pale-headed Jacamar         Ljushuvad jakamar
 3763   Brachygalba salmoni        Dusky-backed Jacamar        Mörkryggad jakamar
 3764   Jacamaralcyon tridactyla   Three-toed Jacamar          Tretåig jakamar
 3765   Galbula albirostris        Yellow-billed Jacamar       Gulnäbbad jakamar
 3766   Galbula cyanicollis        Blue-necked Jacamar         Blåhalsad jakamar
 3767   Galbula galbula            Green-tailed Jacamar        Grönstjärtad jakamar
 3768   Galbula ruficauda          Rufous-tailed Jacamar       Rödstjärtad jakamar
 3769   Galbula tombacea           White-chinned Jacamar       Vithakad jakamar
 3770   Galbula cyanescens         Bluish-fronted Jacamar      Blåpannad jakamar
 3771   Galbula pastazae           Coppery-chested Jacamar     Kopparjakamar
 3772   Galbula leucogastra        Bronzy Jacamar              Bronsjakamar
 3773   Galbula chalcothorax       Purplish Jacamar            Purpurjakamar
 3774   Galbula dea                Paradise Jacamar            Paradisjakamar
 3775   Jacamerops aureus          Great Jacamar               Jättejakamar
 3776                              Bucconidae, Trögfåglar
 3777   Notharchus macrorhynchos   White-necked Puffbird       Vithalsad trögfågel
 3778   Notharchus swainsoni       Buff-bellied Puffbird       Swainsons trögfågel
 3779   Notharchus pectoralis      Black-breasted Puffbird     Svartbröstad trögfågel
 3780   Notharchus ordii           Brown-banded Puffbird       Brunbandad trögfågel
 3781   Notharchus tectus          Pied Puffbird               Svartvit trögfågel
 3782   Bucco macrodactylus        Chestnut-capped Puffbird    Rostkronad trögfågel
 3783   Bucco tamatia              Spotted Puffbird            Fläckig trögfågel
 3784   Bucco noanamae             Sooty-capped Puffbird       Sotkronad trögfågel
 3785   Bucco capensis             Collared Puffbird           Halsbandströgfågel
 3786   Nystalus radiatus          Barred Puffbird             Vattrad trögfågel
 3787   Nystalus chacuru           White-eared Puffbird        Vitörad trögfågel
 3788   Nystalus striolatus        Striolated Puffbird         Strimmig trögfågel
